['motion', 0.9441108832943288]
['unsympathetic', 0.9439652227798833]
['quieter', 0.9439652227798833]
['section', 0.9439652227798833]
['von', 0.9438987080740253]
['imaginations', 0.9438987080740253]
['maigs', 0.9438878618472292]
['fag', 0.9437928959697488]
['button', 0.9437105307234288]
['_must_', 0.9437105307234288]
['fellowship', 0.9435823002205613]
['kindly', 0.9435472917513921]
['chatty', 0.9435300741827107]
['irrelevant', 0.9435300741827107]
['zeal', 0.9434898974080385]
['fantastic', 0.9433523399951091]
['published', 0.9433523399951091]
['tripper', 0.9433454601875202]
['irregularity', 0.9432867206000837]
['inasmuch', 0.9431703963059329]
['attributed', 0.9431703963059329]
['curve', 0.9431703963059329]
['enjoyed', 0.9431703963059329]
['heroism_', 0.943042281267946]
['paddles', 0.943042281267946]
['whispering', 0.9428891694431295]
['tended', 0.9428681939955248]
['circuit', 0.9428258599918639]
['leetle', 0.9426547550550075]
['sou', 0.9426547550550075]
['titles', 0.9426547550550075]
['oswego', 0.9426547550550075]
['press_', 0.9426547550550075]
['musical', 0.9426257495504207]
['blinding', 0.942149335041668]
['mer', 0.9420794868510055]
['depicted', 0.9420308067227624]
['slaughtering', 0.9419607940766728]
['tyrants', 0.941959680859895]
['ascetics', 0.9419138116026596]
['raleigh', 0.941687456994579]
['theseus', 0.941560029204183]
['likeness_', 0.9415026242242813]
['mustard', 0.9415026242242813]
['gird', 0.9415026242242813]
['imbue', 0.9413439515489141]
['grandes', 0.9412494942141885]
['pathways', 0.9411645103593739]
['verified', 0.9411640007046802]
['uncomputed', 0.9411640007046802]
['fleeing', 0.9411640007046802]
['thrackles', 0.9411640007046802]
['softer', 0.9411640007046802]
['smash', 0.9411640007046802]
['aurelius', 0.9411640007046802]
['oaken', 0.9411640007046802]
['sanitation', 0.9411446227403012]
['ringing', 0.9411365871294579]
['outcropping', 0.9409539364472398]
['suggestive', 0.9407511442713883]
['boasts', 0.9405458664332411]
['chilling', 0.940283831200244]
['legend', 0.9402794204054216]
['expansive', 0.9402794204054216]
['quellers', 0.9401322959570377]
['fruits', 0.9400959312656466]
['speculating', 0.9399854192667805]
['despondent', 0.9399511132632972]
['neutral', 0.9398983400379702]
['trottin', 0.9398447024673009]
['carries', 0.9398154444975786]
['pier', 0.9397829132301668]
['voluntary', 0.9397829132301668]
['spurted', 0.9397829132301668]
['ore', 0.9397829132301668]
['beginneth', 0.9397829132301668]
['donkeys', 0.9397829132301668]
['giants', 0.9397829132301668]
['turning', 0.9397829132301668]
['humblest', 0.9397829132301668]
['fancy', 0.9397829132301668]
['declining', 0.9397829132301668]
['contradictory', 0.9394475929440518]
['sentinel', 0.939391950770201]
['faut', 0.939391950770201]
['assemblage', 0.9391540611948325]
['elections', 0.9388323160345193]
['michael', 0.9386737939854181]
['anvil', 0.9386302052347348]
['catholic', 0.9385861530196054]
['bossuet', 0.9384516516607486]
['picturing', 0.9384516516607486]
['poorer', 0.9384516516607486]
['ain', 0.9384516516607486]
['offer', 0.9384516516607486]
['shed', 0.9384516516607486]
['culpable', 0.9383861967048742]
['automatons', 0.9380342513903072]
['seaway', 0.9380342513903072]
['ladyship', 0.9380342513903072]
['fallin', 0.9380342513903072]
['lesson', 0.9380342513903072]
['000', 0.937971396197359]
['implied', 0.9379298526065994]
['vol', 0.9378693058000636]
['nurses', 0.9376401442109258]
['peerless', 0.9375382220362252]
['epidemic', 0.9373767747557269]
['decision', 0.9370914979148774]
['funds', 0.9369849254216256]
['si', 0.9368827578113266]
['crickets', 0.9368590934580266]
['39', 0.9367656310591459]
['prelate', 0.936564039793648]
['eh', 0.9363955564125186]
['endeavoring', 0.9360924894162389]
['slithering', 0.9360924894162389]
['cellini', 0.9360924894162389]
['bois', 0.9360924894162389]
['gapped', 0.9358542742710998]
['granddaughters', 0.9358519609767462]
['presidency', 0.9358519609767462]
['categories', 0.9358519609767462]
['corroded', 0.9358519609767462]
['roles', 0.9358519609767462]
['mounting', 0.9358519609767462]
['titter', 0.9358519609767462]
['buffeting', 0.9358519609767462]
['scuffling', 0.9358503920222767]
['editors', 0.9358185958844728]
['parding', 0.9357492592380882]
['bluster', 0.9356488853127285]
['1875', 0.9356450144589639]
['weary', 0.9356425489999428]
['paints', 0.9355504210438434]
['maple', 0.9355504210438434]
['squeaked', 0.9354697633371152]
['construct', 0.9353998367309767]
['sweetmeats', 0.9353902126186939]
['inly', 0.9353789885481724]
['outbuildings', 0.9353789885481724]
['exit', 0.9353789885481724]
['drownin', 0.9353789885481724]
['educating', 0.9353144670407103]
['fairy', 0.9351013383750798]
['decent', 0.9350365300555743]
['as', 0.9348988674454656]
['cities', 0.9347923906670277]
['traffic', 0.9346524947419977]
['swallowed', 0.934613370400828]
['efficiently', 0.9345199915106245]
